,City,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,lat,lng
1,Abu Dhabi,0,0,0,0,0,0,7,0,0,0,0,0,23.0216238,72.5797068
2,Ahmedabad,0,0,4,0,0,0,4,4,0,0,0,0,12.9791198,77.5912997
3,Bangalore,7,0,7,6,8,8,6,7,9,8,0,0,12.9791198,77.5912997
4,Bengaluru,0,0,0,0,0,0,0,0,0,0,7,7,-29.116395,26.215496
5,Bloemfontein,0,2,0,0,0,0,0,0,0,0,0,0,-33.928992,18.417396
6,Cape Town,0,7,0,0,0,0,0,0,0,0,0,0,-25.836389,28.180278
7,Centurion,0,12,0,0,0,0,0,0,0,0,0,0,30.7194022,76.7646552
8,Chandigarh,7,0,5,4,6,6,3,4,7,4,0,0,13.0801721,80.2838331
9,Chennai,7,0,7,9,10,8,0,7,0,0,1,8,20.4686,85.8792
10,Cuttack,0,0,2,0,2,0,3,0,0,0,0,0,28.6517178,77.2219388
11,Delhi,6,0,7,7,8,8,5,5,7,7,7,7,32.2143039,76.3196717
12,Dharamsala,0,0,2,3,2,2,0,0,0,0,0,0,-29.861825,31.009909
13,Durban,0,15,0,0,0,0,0,0,0,0,0,0,-33.0191604,27.8998573
14,East London,0,3,0,0,0,0,0,0,0,0,0,0,17.3887859,78.4610647
15,Hyderabad,7,0,0,7,4,8,4,4,7,8,7,8,22.7203616,75.8681996
16,Indore,0,0,0,2,0,0,0,0,0,3,4,0,26.916194,75.820349
17,Jaipur,7,0,3,7,8,8,0,0,0,0,7,7,-26.205,28.049722
18,Johannesburg,0,8,0,0,0,0,0,0,0,0,0,0,26.4609135,80.3217588
19,Kanpur,0,0,0,0,0,0,0,0,2,2,0,0,-28.7383012,24.7642251
20,Kimberley,0,3,0,0,0,0,0,0,0,0,0,0,33.6569018,133.5606241
21,Kochi,0,0,0,5,0,0,0,0,0,0,0,0,22.5677459,88.3476023
22,Kolkata,7,0,7,7,7,8,4,7,7,7,9,7,30.450764,76.0484147
23,Mohali,0,0,0,0,0,0,0,0,0,0,3,7,18.9387711,72.8353355
24,Mumbai,10,0,13,16,8,8,7,11,4,8,9,7,21.1498134,79.0820556
25,Nagpur,0,0,3,0,0,0,0,0,0,0,0,0,-33.9617051,25.6207519
26,Port Elizabeth,0,7,0,0,0,0,0,0,0,0,0,0,18.521428,73.8544541
27,Pune,0,0,0,0,9,8,0,4,4,7,6,0,21.2379469,81.6336833
28,Raipur,0,0,0,0,0,2,0,2,2,0,0,0,22.3051991,70.8028335
29,Rajkot,0,0,0,0,0,0,0,0,5,5,0,0,23.3700354,85.3250132
30,Ranchi,0,0,0,0,0,2,4,1,0,0,0,0,25.3585432,55.3895321
31,Sharjah,0,0,0,0,0,0,6,0,0,0,0,0,17.7231276,83.3012842
32,Visakhapatnam,0,0,0,0,2,0,0,3,6,0,0,2,,
